ComboIndex,SharpeRatio,Weights
25,0.29051073035756275,[4.002339864078702e-2;2.4603723090635764e-2;3.851976420592672e-2;2.650763816392263e-2;1.7185056033062588e-2;3.30019902786222e-2;6.936846213645663e-2;2.6159412453053248e-2;4.250254309478667e-2;6.678652362207624e-2;6.487983001710897e-2;3.0289250744211196e-2;5.104609763841483e-2;4.243863910486503e-2;6.061412910760283e-2;2.4417598045502482e-2;2.592680029910316e-2;4.2684471721864244e-2;1.8986447792978742e-2;4.84034365490048e-2;4.8477035328702504e-2;2.8364685954949082e-2;3.6570940213566404e-2;2.4169050921150088e-2;6.807307484164575e-2]
26,0.28351176833716457,[3.874852660221239e-2;4.279413610096687e-2;2.051958596692927e-2;1.6360001207602903e-2;6.466771397895665e-2;3.788668853924414e-2;5.8554142992863295e-2;4.136221346956242e-2;4.68394244017565e-2;6.393944058358846e-2;2.3205595549093003e-2;2.7686233089917505e-2;4.142213633236727e-2;1.7263643151084855e-2;6.515333538297614e-2;6.093599146467987e-2;2.4239477521164426e-2;5.549533703362459e-2;3.833489077054825e-2;4.6968650839063625e-2;1.7070020194137895e-2;1.6757960014003908e-2;4.163721200429733e-2;3.4211304771996714e-2;5.794633803736175e-2]
27,0.28633029041106683,[2.1544062591874174e-2;3.368878689240754e-2;3.3882702843685886e-2;3.094121566106592e-2;1.819405845673341e-2;4.951330612497405e-2;1.5366068898709872e-2;3.3035630755394424e-2;6.219537618176313e-2;7.147180387997207e-2;3.0527036445671785e-2;3.537356450359381e-2;2.0537513971149748e-2;3.254987419238105e-2;5.3407479443685964e-2;4.0559288350826575e-2;5.8860751428318245e-2;5.883427329398375e-2;3.270309805072654e-2;4.070475603724509e-2;6.277902201561589e-2;1.6917809065210513e-2;7.509460288883127e-2;3.956765613980865e-2;3.175026188637067e-2]
28,0.33971482420140786,[3.805583140550454e-2;1.7663532443267217e-2;3.704140443965166e-2;4.6976895663483814e-2;4.264753242234974e-2;3.03825105483123e-2;3.1708393911714886e-2;2.0832342235374387e-2;3.44378214136533e-2;6.81027910621867e-2;2.7967876266285153e-2;2.4780068231255923e-2;5.882634373088126e-2;2.77615742233541e-2;6.081830613146918e-2;1.542766666358828e-2;3.6111061589841044e-2;4.897248052909341e-2;1.9403549831485463e-2;5.341009974113008e-2;6.755023341123002e-2;2.211481265045896e-2;5.3336629184804606e-2;5.953010648901495e-2;5.6140135780608946e-2]
29,0.29482607841338637,[3.8578793590225584e-2;2.9048469315767534e-2;3.9638107271733274e-2;3.229169330351248e-2;4.0264315803679195e-2;2.2069827854448578e-2;3.747411455863546e-2;3.3145537176528066e-2;1.5332731229462732e-2;7.12807745461579e-2;1.76978090649246e-2;3.314538306020488e-2;5.924699080002876e-2;4.304330358573501e-2;6.982056690238954e-2;4.208504777969232e-2;6.352618216316071e-2;4.369153612390973e-2;2.0894654967475987e-2;2.242119300805247e-2;3.575488306937108e-2;5.6882738328903684e-2;3.304899095351688e-2;2.991092101773084e-2;6.970543452475252e-2]
30,0.3129033066917595,[3.4131410191931014e-2;2.1043768615041845e-2;2.3134290225739446e-2;1.7114070166132166e-2;4.50273075917568e-2;5.460123200285152e-2;6.407694639119459e-2;3.834197934991513e-2;2.0562696164484577e-2;7.733089438279933e-2;4.958778407730092e-2;1.6515723231797994e-2;2.3903513904674097e-2;5.531654955235102e-2;5.546107717040122e-2;3.7920393402183436e-2;2.333881821786793e-2;5.250660969004971e-2;3.8355279185406564e-2;2.312742011437629e-2;3.864612772684859e-2;5.311843689593715e-2;2.9849639391592526e-2;4.226353002153632e-2;6.472450233582992e-2]
31,0.3108348315726574,[3.78059891624522e-2;4.568589747431196e-2;2.2156466201232277e-2;6.83187395002847e-2;1.6319301043533387e-2;1.642619843011498e-2;6.714057265176349e-2;5.427144191828342e-2;2.4872614119975902e-2;7.522376363338189e-2;2.3398678616557398e-2;4.5808646031028355e-2;1.660404351068116e-2;2.447364654334607e-2;2.3796562278157546e-2;3.767266829996665e-2;2.2616456420884022e-2;5.69315166899481e-2;6.340038898615845e-2;1.7015521002884653e-2;2.4377217496664758e-2;3.806592964644838e-2;5.0063848482200565e-2;6.247032104566576e-2;6.508357081407394e-2]
32,0.2941101009116952,[2.3845802155711155e-2;6.7777230395921e-2;6.912425047051009e-2;3.448754540688068e-2;1.7010361100577756e-2;5.931930272221996e-2;2.6762470829888408e-2;3.442570724122203e-2;1.7751292530852263e-2;6.630904400685309e-2;4.80624899895931e-2;4.151433407248915e-2;2.501497288012766e-2;4.6375787969856565e-2;4.51957368821682e-2;2.885428190098168e-2;1.597179094781144e-2;2.2331552884473294e-2;2.5410001840699272e-2;2.5720122884707174e-2;7.813156073267731e-2;2.935867199676787e-2;4.852374316762975e-2;2.536676741813778e-2;7.73551775712432e-2]
33,0.2981842598601203,[1.7344159847558206e-2;1.4361238966198236e-2;5.2004356003581796e-2;4.096030454301084e-2;5.720931598269868e-2;2.3131818946190257e-2;5.283438028449632e-2;1.4459777029066291e-2;2.0934881841674566e-2;5.9479780904244106e-2;3.317129790991892e-2;5.121037062765239e-2;2.463392069295123e-2;1.226864042860408e-2;5.8011638145634516e-2;4.522849973788991e-2;5.73375111640085e-2;4.589808716001662e-2;1.80314909812627e-2;6.006401634344776e-2;5.90378271465334e-2;2.6456669285540777e-2;5.9405996477125786e-2;3.62983070920711e-2;6.022571245862291e-2]
34,0.2797702709470258,[2.1992059970194665e-2;2.216672481671827e-2;6.933518503404823e-2;5.7426592536774734e-2;4.1008356007873614e-2;3.161337691001043e-2;1.5176320707348716e-2;4.406580929517496e-2;5.241769800503517e-2;7.167017649347558e-2;2.9110402964571437e-2;5.1754159941412636e-2;2.10983942409839e-2;4.646233624267688e-2;3.86629319186058e-2;3.637237131562809e-2;3.889137820909999e-2;3.846665554046038e-2;1.7185643974726612e-2;3.128738210214776e-2;6.453037923542183e-2;2.648492312470678e-2;3.2646257825862585e-2;2.7190293690750135e-2;7.298418989629071e-2]
35,0.3162403427606397,[5.0950284348580586e-2;2.7637562434901237e-2;2.3962286338857816e-2;7.283501121417926e-2;1.8958982897254555e-2;1.6773265578734174e-2;4.044291465658096e-2;4.4645900660608286e-2;2.84485372009734e-2;7.32764951471893e-2;7.306277555646305e-2;4.227058229341469e-2;3.414989667333986e-2;3.929850750843567e-2;3.6955097372198736e-2;2.8964930194858192e-2;3.5991070083410126e-2;7.366895504422823e-2;2.200330978548776e-2;1.486459287929057e-2;6.852453885447722e-2;4.019732242680949e-2;1.758680448939274e-2;2.700038056734852e-2;4.752999579298554e-2]
36,0.31859533596338435,[4.4224599425836585e-2;1.7651844371859397e-2;2.17693150578665e-2;5.548137470348222e-2;3.882494498376068e-2;3.7328375756262536e-2;6.349370823034428e-2;3.324367807906076e-2;1.5655289946892095e-2;6.613300748608605e-2;3.828940269411763e-2;1.5068977689947756e-2;2.719682765188755e-2;3.683985148995212e-2;4.872481432153637e-2;2.954000134752424e-2;5.015129196557813e-2;4.787973325175421e-2;1.991206808708646e-2;4.3874106279444734e-2;4.521970285074453e-2;5.5376776329236106e-2;3.865361219616435e-2;6.807839275904805e-2;4.1388303044526585e-2]
37,0.28743220070127434,[3.450910597516017e-2;3.69196857403188e-2;3.9125876880571585e-2;7.271153573585827e-2;5.2543858977863574e-2;4.270030347066796e-2;1.6580993285012748e-2;1.8135021190262047e-2;5.4401525492398316e-2;6.938541095307273e-2;1.704292935637068e-2;3.2855411130481925e-2;3.270624597621863e-2;5.8791716241361695e-2;6.626274932555624e-2;1.6367981647999432e-2;1.9828795058379495e-2;6.419713159675036e-2;1.5521593917065929e-2;4.0865059455706794e-2;5.346237073331404e-2;1.9644890836488703e-2;5.4684064958389136e-2;4.49274047525399e-2;2.5828337312190947e-2]
38,0.3234989412231778,[1.900808557421123e-2;5.8017587419419564e-2;3.258037538773592e-2;3.3272717931256794e-2;2.9684553087072563e-2;1.824019241455768e-2;3.3195605665172746e-2;4.871999581471466e-2;3.0404430045667938e-2;6.867076198826158e-2;4.1133011573557476e-2;2.7268828263571732e-2;1.984298831087292e-2;3.8144671898037934e-2;6.73565800089551e-2;5.2271917665057475e-2;2.9309384830153613e-2;5.275989096501529e-2;2.496567063508626e-2;1.877143711030916e-2;5.428617320244694e-2;5.877712170326339e-2;1.8721313945995775e-2;5.966408007454158e-2;6.493262448506462e-2]
39,0.2967718884477602,[2.4858070343149387e-2;3.094649031398937e-2;9.344855128044716e-2;5.128202118528383e-2;3.917542311667801e-2;5.898116973502246e-2;2.7673014220237456e-2;4.686752566101258e-2;4.107592350893171e-2;4.984483314203541e-2;4.457862171600911e-2;4.2463669167454095e-2;2.2622938596689048e-2;3.37223075321998e-2;3.922630029181195e-2;4.216315881146092e-2;2.188221098973167e-2;2.2040150049568167e-2;2.8479499445889126e-2;2.269557037690758e-2;2.2237377502949223e-2;3.571108082019958e-2;4.400692406590597e-2;2.1983876615726396e-2;9.203329151071005e-2]
40,0.2997474324959089,[2.427266228463889e-2;2.0910477049507454e-2;6.445770613989996e-2;3.58283558395268e-2;4.932579458402438e-2;2.380526584764406e-2;3.0742900416016218e-2;1.5699760996303963e-2;4.175565145939841e-2;6.382255487747668e-2;4.518725288770958e-2;2.4090388799356845e-2;6.368501337235093e-2;4.822358335297339e-2;5.55355317963549e-2;5.5011728637403175e-2;4.446125627211133e-2;6.670301011894435e-2;1.6525910885910773e-2;1.64344958759491e-2;5.144021182898232e-2;1.6986521429946062e-2;3.939221962241493e-2;2.5233508602276643e-2;6.046823702287892e-2]
